netID,WoC,GH
eabbott9,daducci_amico,https://github.com/daducci/AMICO
eabbott9,yangjasp_optimall,https://github.com/yangjasp/optimall
eabbott9,anybotics_kindr,https://github.com/ANYbotics/kindr
eabbott9,scikit-fuzzy_scikit-fuzzy,https://github.com/scikit-fuzzy/scikit-fuzzy
eabbott9,mhhennig_hs2,https://github.com/mhhennig/HS2
eabbott9,bids-apps_rshrf,https://github.com/BIDS-Apps/rsHRF
eabbott9,juliastats_lasso.jl,https://github.com/JuliaStats/Lasso.jl
eabbott9,dcc-lab_pyhardwarelibrary,https://github.com/DCC-Lab/PyHardwareLibrary
eabbott9,cmillion_gphoton,https://github.com/cmillion/gPhoton
eabbott9,aim-uofa_adelaidet,https://github.com/aim-uofa/AdelaiDet
kbissonn,juliagaussianprocesses_abstractgps.jl,https://github.com/JuliaGaussianProcesses/AbstractGPs.jl
kbissonn,pyushkevich_itksnap,https://github.com/pyushkevich/itksnap
kbissonn,darrencroton_sage,https://github.com/darrencroton/sage
kbissonn,nanograv_enterprise,https://github.com/nanograv/enterprise
kbissonn,nsidc_mapxmaps,https://github.com/nsidc/mapxmaps
kbissonn,kinnala_scikit-fem,https://github.com/kinnala/scikit-fem
kbissonn,alibaba_graphscope,https://github.com/alibaba/GraphScope
kbissonn,turinglang_bijectors.jl,https://github.com/TuringLang/Bijectors.jl
kbissonn,sandialabs_pecos,https://github.com/sandialabs/pecos
kbissonn,sicara_tuto-fsl,https://github.com/sicara/tuto-fsl
cboddick,maria-korosteleva_garment-pattern-estimation,https://github.com/maria-korosteleva/Garment-Pattern-Estimation
cboddick,tf-encrypted_tf-encrypted,https://github.com/tf-encrypted/tf-encrypted
cboddick,baggepinnen_spectraldistances.jl,https://github.com/baggepinnen/SpectralDistances.jl
cboddick,massimocimmino_pygfunction,https://github.com/MassimoCimmino/pygfunction
cboddick,the-virtual-brain_tvb-root,https://github.com/the-virtual-brain/tvb-root
